"","date","cases"
"1",2020-03-01,0
"2",2020-03-02,0
"3",2020-03-03,4
"4",2020-03-04,0
"5",2020-03-05,4
"6",2020-03-06,3
"7",2020-03-07,1
"8",2020-03-08,0
"9",2020-03-09,2
"10",2020-03-10,4
"11",2020-03-11,13
"12",2020-03-12,8
"13",2020-03-13,14
"14",2020-03-14,18
"15",2020-03-15,14
"16",2020-03-16,26
"17",2020-03-17,24
"18",2020-03-18,27
"19",2020-03-19,29
"20",2020-03-20,29
"21",2020-03-21,34
"22",2020-03-22,21
"23",2020-03-23,26
"24",2020-03-24,23
"25",2020-03-25,45
"26",2020-03-26,18
"27",2020-03-27,28
"28",2020-03-28,23
"29",2020-03-29,22
"30",2020-03-30,23
"31",2020-03-31,17
"32",2020-04-01,22
"33",2020-04-02,18
"34",2020-04-03,13
"35",2020-04-04,13
"36",2020-04-05,7
"37",2020-04-06,25
"38",2020-04-07,9
"39",2020-04-08,10
"40",2020-04-09,6
"41",2020-04-10,12
"42",2020-04-11,4
"43",2020-04-12,2
"44",2020-04-13,10
"45",2020-04-14,12
"46",2020-04-15,1
"47",2020-04-16,10
"48",2020-04-17,6
"49",2020-04-18,9
"50",2020-04-19,5
"51",2020-04-20,5
"52",2020-04-21,35
"53",2020-04-22,9
"54",2020-04-23,12
"55",2020-04-24,10
"56",2020-04-25,18
"57",2020-04-26,1
"58",2020-04-27,13
"59",2020-04-28,4
"60",2020-04-29,3
"61",2020-04-30,9
"62",2020-05-01,4
"63",2020-05-02,9
"64",2020-05-03,5
"65",2020-05-04,2
"66",2020-05-05,5
"67",2020-05-06,8
"68",2020-05-07,7
"69",2020-05-08,3
"70",2020-05-09,0
"71",2020-05-10,1
"72",2020-05-11,2
"73",2020-05-12,2
"74",2020-05-13,0
"75",2020-05-14,0
"76",2020-05-15,0
"77",2020-05-16,4
"78",2020-05-17,2
"79",2020-05-18,1
"80",2020-05-19,0
"81",2020-05-20,0
"82",2020-05-21,3
"83",2020-05-22,1
"84",2020-05-23,2
"85",2020-05-24,0
"86",2020-05-25,1
"87",2020-05-26,0
"88",2020-05-27,2
"89",2020-05-28,0
"90",2020-05-29,2
"91",2020-05-30,0
"92",2020-05-31,2
"93",2020-06-01,0
"94",2020-06-02,2
"95",2020-06-03,0
"96",2020-06-04,0
"97",2020-06-05,0
"98",2020-06-06,0
"99",2020-06-07,0
"100",2020-06-08,1
"101",2020-06-09,4
"102",2020-06-10,2
"103",2020-06-11,5
"104",2020-06-12,5
"105",2020-06-13,4
"106",2020-06-14,2
"107",2020-06-15,3
"108",2020-06-16,5
"109",2020-06-17,2
"110",2020-06-18,1
"111",2020-06-19,1
"112",2020-06-20,0
"113",2020-06-21,3
"114",2020-06-22,3
"115",2020-06-23,2
"116",2020-06-24,7
"117",2020-06-25,1
"118",2020-06-26,2
"119",2020-06-27,4
"120",2020-06-28,2
"121",2020-06-29,2
"122",2020-06-30,5
"123",2020-07-01,1
"124",2020-07-02,5
"125",2020-07-03,3
"126",2020-07-04,5
"127",2020-07-05,5
"128",2020-07-06,1
"129",2020-07-07,6
"130",2020-07-08,6
"131",2020-07-09,3
"132",2020-07-10,10
"133",2020-07-11,9
"134",2020-07-12,9
"135",2020-07-13,2
"136",2020-07-14,7
"137",2020-07-15,5
"138",2020-07-16,3
"139",2020-07-17,7
"140",2020-07-18,1
"141",2020-07-19,1
"142",2020-07-20,6
"143",2020-07-21,5
"144",2020-07-22,2
"145",2020-07-23,8
"146",2020-07-24,2
"147",2020-07-25,2
"148",2020-07-26,1
"149",2020-07-27,3
"150",2020-07-28,4
"151",2020-07-29,3
"152",2020-07-30,12
"153",2020-07-31,18
"154",2020-08-01,9
"155",2020-08-02,6
"156",2020-08-03,6
"157",2020-08-04,14
"158",2020-08-05,10
"159",2020-08-06,23
"160",2020-08-07,14
"161",2020-08-08,18
"162",2020-08-09,19
"163",2020-08-10,15
"164",2020-08-11,39
"165",2020-08-12,34
"166",2020-08-13,44
"167",2020-08-14,29
"168",2020-08-15,27
"169",2020-08-16,23
"170",2020-08-17,17
"171",2020-08-18,36
"172",2020-08-19,42
"173",2020-08-20,45
"174",2020-08-21,43
"175",2020-08-22,24
"176",2020-08-23,25
"177",2020-08-24,24
"178",2020-08-25,18
"179",2020-08-26,37
"180",2020-08-27,57
"181",2020-08-28,42
"182",2020-08-29,37
"183",2020-08-30,40
"184",2020-08-31,17
"185",2020-09-01,49
"186",2020-09-02,37
"187",2020-09-03,68
"188",2020-09-04,49
"189",2020-09-05,52
"190",2020-09-06,44
"191",2020-09-07,37
"192",2020-09-08,35
"193",2020-09-09,65
"194",2020-09-10,58
"195",2020-09-11,84
"196",2020-09-12,55
"197",2020-09-13,40
"198",2020-09-14,27
"199",2020-09-15,59
"200",2020-09-16,61
"201",2020-09-17,63
"202",2020-09-18,52
"203",2020-09-19,35
"204",2020-09-20,48
"205",2020-09-21,44
"206",2020-09-22,29
"207",2020-09-23,63
"208",2020-09-24,34
"209",2020-09-25,52
"210",2020-09-26,36
"211",2020-09-27,41
"212",2020-09-28,38
"213",2020-09-29,47
"214",2020-09-30,61
"215",2020-10-01,48
"216",2020-10-02,46
"217",2020-10-03,45
"218",2020-10-04,34
"219",2020-10-05,29
"220",2020-10-06,38
"221",2020-10-07,46
"222",2020-10-08,34
"223",2020-10-09,61
"224",2020-10-10,44
"225",2020-10-11,31
"226",2020-10-12,42
"227",2020-10-13,41
"228",2020-10-14,31
"229",2020-10-15,55
"230",2020-10-16,41
"231",2020-10-17,29
"232",2020-10-18,49
"233",2020-10-19,37
"234",2020-10-20,32
"235",2020-10-21,53
"236",2020-10-22,60
"237",2020-10-23,53
"238",2020-10-24,32
"239",2020-10-25,30
"240",2020-10-26,54
"241",2020-10-27,41
"242",2020-10-28,50
"243",2020-10-29,85
"244",2020-10-30,87
"245",2020-10-31,90
"246",2020-11-01,63
"247",2020-11-02,89
"248",2020-11-03,103
"249",2020-11-04,153
"250",2020-11-05,132
"251",2020-11-06,122
"252",2020-11-07,106
"253",2020-11-08,98
"254",2020-11-09,142
"255",2020-11-10,126
"256",2020-11-11,157
"257",2020-11-12,109
"258",2020-11-13,151
"259",2020-11-14,200
"260",2020-11-15,115
"261",2020-11-16,171
"262",2020-11-17,173
"263",2020-11-18,215
"264",2020-11-19,145
"265",2020-11-20,196
"266",2020-11-21,93
"267",2020-11-22,142
"268",2020-11-23,177
"269",2020-11-24,163
"270",2020-11-25,154
"271",2020-11-26,167
"272",2020-11-27,148
"273",2020-11-28,127
"274",2020-11-29,120
"275",2020-11-30,120
"276",2020-12-01,157
"277",2020-12-02,139
"278",2020-12-03,131
"279",2020-12-04,111
"280",2020-12-05,116
"281",2020-12-06,97
"282",2020-12-07,104
"283",2020-12-08,133
"284",2020-12-09,144
"285",2020-12-10,124
"286",2020-12-11,107
"287",2020-12-12,104
"288",2020-12-13,95
"289",2020-12-14,89
"290",2020-12-15,107
"291",2020-12-16,140
"292",2020-12-17,107
"293",2020-12-18,93
"294",2020-12-19,117
"295",2020-12-20,83
"296",2020-12-21,74
"297",2020-12-22,92
"298",2020-12-23,98
"299",2020-12-24,91
"300",2020-12-25,70
"301",2020-12-26,53
"302",2020-12-27,71
"303",2020-12-28,75
"304",2020-12-29,125
"305",2020-12-30,76
"306",2020-12-31,99
